Timestamp,Indoor_Temp_C,Indoor_Humidity_Percent
10/26/24 16:00,22.53,56.32
10/26/24 20:00,20.36,78.73
10/27/24 0:00,18.44,85.28
10/27/24 4:00,18.21,87.01
10/27/24 8:00,19.53,81.37
10/27/24 12:00,22.97,63.21
10/27/24 16:00,21.24,66.9
10/27/24 20:00,21.52,70.51
10/28/24 0:00,21.16,73.77
10/28/24 4:00,20.95,77.26
10/28/24 8:00,22.07,68.4
10/28/24 12:00,24.12,55.87
10/28/24 16:00,23.18,59.07
10/28/24 20:00,20.92,76.6
10/29/24 0:00,20.27,82.01
10/29/24 4:00,20.3,85.42
10/29/24 8:00,21.4,73.48
10/29/24 12:00,24.01,53.97
10/29/24 16:00,23.84,53.18
10/29/24 20:00,21.08,77.45
10/30/24 0:00,20.08,85.4
10/30/24 4:00,19.53,86.77
10/30/24 8:00,20.58,86.39
10/30/24 12:00,24.62,56.15
10/30/24 16:00,23.41,61
10/30/24 20:00,20.47,79.11
10/31/24 0:00,20.34,86.57
10/31/24 4:00,19.19,85.43
10/31/24 8:00,20.75,82.87
10/31/24 12:00,23.92,59.42
10/31/24 16:00,23.65,58.75
10/31/24 20:00,20.61,82.46
11/1/24 0:00,20.22,83.2
11/1/24 4:00,19.93,83.88
11/1/24 8:00,21.1,75.58
11/1/24 12:00,24.19,51.94
11/1/24 16:00,23.03,60.35
11/1/24 20:00,20.47,79.22
11/2/24 0:00,19.13,83.03
11/2/24 4:00,18.39,82.02
11/2/24 8:00,19.08,79.04
11/2/24 12:00,24.14,49.21
11/2/24 16:00,23.15,53.63
11/2/24 20:00,19.86,78.29
11/3/24 0:00,18.7,84.51
11/3/24 4:00,17.62,88.9
11/3/24 8:00,18.26,90.28
11/3/24 12:00,23.19,55.6
11/3/24 16:00,21.47,68.57
11/3/24 20:00,19.22,81.69
11/4/24 0:00,19.31,78.14
11/4/24 4:00,17.88,88.95
11/4/24 8:00,17.68,86.53
11/4/24 12:00,23.28,54.13
11/4/24 16:00,22.23,65.12
